,filename,group,sex,mouse,4hour,Left_Poke_Count,Right_Poke_Count,active_bias
166,SHI_C148_M1_FED003_062020_01.CSV,SHI,M,C148_M1,9,9,5,0.6428571428571429
167,SHI_C148_M1_FED003_062120_01.CSV,SHI,M,C148_M1,10,8,2,0.8
168,SHI_C148_M1_FED003_062420_01.CSV,SHI,M,C148_M1,13,6,2,0.75
169,SHI_C148_M1_FED003_062520_01.CSV,SHI,M,C148_M1,14,7,2,0.7777777777777778
170,SHI_C148_M1_FED003_062620_01.CSV,SHI,M,C148_M1,15,10,2,0.8333333333333334
171,SHI_C148_M1_FED003_063020_01.CSV,SHI,M,C148_M1,19,12,9,0.5714285714285714
172,SHI_C148_M1_FED003_070220_01.CSV,SHI,M,C148_M1,21,7,5,0.5833333333333334
173,SHI_C148_M1_FED003_070320_01.CSV,SHI,M,C148_M1,22,7,2,0.7777777777777778
174,SHI_C148_M1_FED003_070420_01.CSV,SHI,M,C148_M1,23,9,4,0.6923076923076923
175,SHI_C148_M1_FED003_070520_01.CSV,SHI,M,C148_M1,24,9,2,0.8181818181818182
176,SHI_C148_M1_FED003_070720_01.CSV,SHI,M,C148_M1,26,10,3,0.7692307692307693
177,SHI_C148_M1_FED003_070820_01.CSV,SHI,M,C148_M1,27,8,2,0.8
178,SHI_C148_M1_FED003_070820_01.CSV,SHI,M,C148_M1,28,8,4,0.6666666666666666
179,SHI_C148_M1_FED003_070920_01.CSV,SHI,M,C148_M1,28,5,0,1.0
180,SHI_C148_M1_FED003_070920_01.CSV,SHI,M,C148_M1,29,8,0,1.0
181,SHI_C148_M1_FED003_071020_01.CSV,SHI,M,C148_M1,29,11,0,1.0
182,SHI_C148_M1_FED003_071120_01.CSV,SHI,M,C148_M1,30,10,0,1.0
183,SHI_C148_M1_FED003_071120_01.CSV,SHI,M,C148_M1,31,12,0,1.0
184,SHI_C148_M1_FED003_071220_01.CSV,SHI,M,C148_M1,31,11,1,0.9166666666666666
185,SHI_C148_M1_FED003_071420_01.CSV,SHI,M,C148_M1,33,8,0,1.0
186,SHI_C148_M1_FED003_071420_01.CSV,SHI,M,C148_M1,34,10,0,1.0
187,SHI_C148_M1_FED003_071520_01.CSV,SHI,M,C148_M1,35,14,4,0.7777777777777778
188,SHI_C148_M1_FED003_071620_01.CSV,SHI,M,C148_M1,36,11,4,0.7333333333333333
189,SHI_C148_M1_FED003_071720_01.CSV,SHI,M,C148_M1,36,12,2,0.8571428571428571
190,SHI_C148_M1_FED003_071720_01.CSV,SHI,M,C148_M1,37,14,2,0.875
191,SHI_C148_M1_FED003_071820_01.CSV,SHI,M,C148_M1,38,17,11,0.6071428571428571
192,SHI_C148_M1_FED003_071920_01.CSV,SHI,M,C148_M1,38,12,1,0.9230769230769231
193,SHI_C148_M1_FED003_072120_01.CSV,SHI,M,C148_M1,40,12,2,0.8571428571428571
194,SHI_C148_M1_FED003_072120_01.CSV,SHI,M,C148_M1,41,13,2,0.8666666666666667
195,SHI_C148_M1_FED003_072320_01.CSV,SHI,M,C148_M1,42,7,1,0.875
196,SHI_C148_M1_FED003_072320_01.CSV,SHI,M,C148_M1,43,11,1,0.9166666666666666
197,SHI_C148_M1_FED003_072420_01.CSV,SHI,M,C148_M1,43,5,0,1.0
198,SHI_C148_M1_FED003_072420_01.CSV,SHI,M,C148_M1,44,14,1,0.9333333333333333
199,SHI_C148_M1_FED003_072520_01.CSV,SHI,M,C148_M1,44,2,0,1.0
200,SHI_C148_M1_FED003_072520_01.CSV,SHI,M,C148_M1,45,18,4,0.8181818181818182
201,SHI_C148_M1_FED003_072620_01.CSV,SHI,M,C148_M1,45,15,3,0.8333333333333334
202,SHI_C148_M1_FED003_072620_01.CSV,SHI,M,C148_M1,46,18,5,0.782608695652174
203,SHI_C148_M1_FED003_072720_01.CSV,SHI,M,C148_M1,46,17,5,0.7727272727272727
204,SHI_C149_F0_FED001_061920_00.CSV,SHI,F,C149_F0,1,15,7,0.6818181818181818
205,SHI_C149_F0_FED001_062020_00.CSV,SHI,F,C149_F0,1,14,11,0.56
206,SHI_C149_F0_FED001_062120_00.CSV,SHI,F,C149_F0,2,16,14,0.5333333333333333
207,SHI_C149_F0_FED001_062420_00.CSV,SHI,F,C149_F0,5,7,6,0.5384615384615384
208,SHI_C149_F0_FED001_062420_00.CSV,SHI,F,C149_F0,6,15,8,0.6521739130434783
209,SHI_C149_F0_FED001_062520_00.CSV,SHI,F,C149_F0,7,15,5,0.75
210,SHI_C149_F0_FED001_062620_00.CSV,SHI,F,C149_F0,7,10,2,0.8333333333333334
211,SHI_C149_F0_FED001_062620_00.CSV,SHI,F,C149_F0,8,13,2,0.8666666666666667
212,SHI_C149_F0_FED001_070220_00.CSV,SHI,F,C149_F0,13,8,4,0.6666666666666666
213,SHI_C149_F0_FED001_070220_00.CSV,SHI,F,C149_F0,14,16,8,0.6666666666666666
214,SHI_C149_F0_FED001_070320_00.CSV,SHI,F,C149_F0,14,8,4,0.6666666666666666
215,SHI_C149_F0_FED001_070320_00.CSV,SHI,F,C149_F0,15,13,8,0.6190476190476191
216,SHI_C149_F0_FED001_070420_00.CSV,SHI,F,C149_F0,15,15,6,0.7142857142857143
217,SHI_C149_F0_FED001_070420_00.CSV,SHI,F,C149_F0,16,16,6,0.7272727272727273
218,SHI_C149_F0_FED001_070520_00.CSV,SHI,F,C149_F0,16,17,7,0.7083333333333334
219,SHI_C149_F0_FED001_070720_00.CSV,SHI,F,C149_F0,19,20,6,0.7692307692307693
220,SHI_C149_F0_FED001_070820_00.CSV,SHI,F,C149_F0,20,24,5,0.8275862068965517
221,SHI_C149_F0_FED001_070920_00.CSV,SHI,F,C149_F0,21,20,4,0.8333333333333334
222,SHI_C149_F0_FED001_071020_00.CSV,SHI,F,C149_F0,22,30,4,0.8823529411764706
223,SHI_C149_F0_FED001_071120_00.CSV,SHI,F,C149_F0,23,21,5,0.8076923076923077
224,SHI_C149_F0_FED001_071220_00.CSV,SHI,F,C149_F0,24,24,7,0.7741935483870968
225,SHI_C149_F0_FED001_071420_00.CSV,SHI,F,C149_F0,26,18,7,0.72
226,SHI_C149_F0_FED001_071520_00.CSV,SHI,F,C149_F0,27,15,0,1.0
227,SHI_C149_F0_FED001_071620_00.CSV,SHI,F,C149_F0,28,19,8,0.7037037037037037
228,SHI_C149_F0_FED001_071720_00.CSV,SHI,F,C149_F0,29,17,3,0.85
229,SHI_C149_F0_FED001_071820_00.CSV,SHI,F,C149_F0,30,22,7,0.7586206896551724
230,SHI_C149_F0_FED001_071920_00.CSV,SHI,F,C149_F0,31,13,0,1.0
231,SHI_C149_F0_FED001_072120_00.CSV,SHI,F,C149_F0,33,16,1,0.9411764705882353
232,SHI_C149_F0_FED001_072320_00.CSV,SHI,F,C149_F0,35,15,1,0.9375
233,SHI_C149_F0_FED001_072420_00.CSV,SHI,F,C149_F0,36,11,7,0.6111111111111112
234,SHI_C149_F0_FED001_072520_00.CSV,SHI,F,C149_F0,37,14,3,0.8235294117647058
235,SHI_C149_F0_FED001_072620_00.CSV,SHI,F,C149_F0,38,22,6,0.7857142857142857
236,SHI_C149_F0_FED001_072720_00.CSV,SHI,F,C149_F0,39,19,6,0.76
237,SHI_C149_F1_FED002_061120_00.CSV,SHI,F,C149_F1,1,1,2,0.3333333333333333
238,SHI_C149_F1_FED002_061220_00.CSV,SHI,F,C149_F1,1,1,0,1.0
239,SHI_C149_F1_FED002_061320_00.CSV,SHI,F,C149_F1,2,1,0,1.0
240,SHI_C149_F1_FED002_061420_00.CSV,SHI,F,C149_F1,3,10,6,0.625
241,SHI_C149_F1_FED002_061720_00.CSV,SHI,F,C149_F1,7,4,2,0.6666666666666666
242,SHI_C149_F1_FED002_061820_00.CSV,SHI,F,C149_F1,7,7,4,0.6363636363636364
243,SHI_C149_F1_FED002_061920_00.CSV,SHI,F,C149_F1,8,9,4,0.6923076923076923
244,SHI_C149_F1_FED002_062020_00.CSV,SHI,F,C149_F1,9,10,6,0.625
245,SHI_C149_F1_FED002_062120_00.CSV,SHI,F,C149_F1,10,9,8,0.5294117647058824
246,SHI_C149_F1_FED002_062420_00.CSV,SHI,F,C149_F1,13,9,7,0.5625
247,SHI_C149_F1_FED002_062520_00.CSV,SHI,F,C149_F1,14,10,4,0.7142857142857143
248,SHI_C149_F1_FED002_062620_00.CSV,SHI,F,C149_F1,15,13,4,0.7647058823529411
249,SHI_C149_F1_FED002_063020_00.CSV,SHI,F,C149_F1,19,8,3,0.7272727272727273
250,SHI_C149_F1_FED002_070220_00.CSV,SHI,F,C149_F1,21,8,8,0.5
251,SHI_C149_F1_FED002_070320_00.CSV,SHI,F,C149_F1,22,11,3,0.7857142857142857
252,SHI_C149_F1_FED002_070420_00.CSV,SHI,F,C149_F1,23,14,5,0.7368421052631579
253,SHI_C149_F1_FED002_070520_00.CSV,SHI,F,C149_F1,24,12,6,0.6666666666666666
254,SHI_C149_F1_FED002_070720_00.CSV,SHI,F,C149_F1,26,13,10,0.5652173913043478
255,SHI_C149_F1_FED002_070820_00.CSV,SHI,F,C149_F1,27,14,5,0.7368421052631579
256,SHI_C149_F1_FED002_070820_00.CSV,SHI,F,C149_F1,28,17,5,0.7727272727272727
257,SHI_C149_F1_FED002_070920_00.CSV,SHI,F,C149_F1,28,19,2,0.9047619047619048
258,SHI_C149_F1_FED002_070920_00.CSV,SHI,F,C149_F1,29,21,4,0.84
259,SHI_C149_F1_FED002_071020_00.CSV,SHI,F,C149_F1,29,21,9,0.7
260,SHI_C149_F1_FED002_071120_00.CSV,SHI,F,C149_F1,30,13,7,0.65
261,SHI_C149_F1_FED002_071120_00.CSV,SHI,F,C149_F1,31,16,7,0.6956521739130435
262,SHI_C149_F1_FED002_071220_00.CSV,SHI,F,C149_F1,31,18,1,0.9473684210526315
263,SHI_C149_F1_FED002_071420_00.CSV,SHI,F,C149_F1,33,8,4,0.6666666666666666
264,SHI_C149_F1_FED002_071420_00.CSV,SHI,F,C149_F1,34,11,4,0.7333333333333333
265,SHI_C149_F1_FED002_071720_00.CSV,SHI,F,C149_F1,36,10,3,0.7692307692307693
266,SHI_C149_F1_FED002_071720_00.CSV,SHI,F,C149_F1,37,11,4,0.7333333333333333
267,SHI_C149_F1_FED002_071820_00.CSV,SHI,F,C149_F1,38,13,6,0.6842105263157895
268,SHI_C149_F1_FED002_071920_00.CSV,SHI,F,C149_F1,38,13,4,0.7647058823529411
269,SHI_C149_F1_FED002_072120_00.CSV,SHI,F,C149_F1,40,10,3,0.7692307692307693
270,SHI_C149_F1_FED002_072120_00.CSV,SHI,F,C149_F1,41,11,3,0.7857142857142857
271,SHI_C149_F1_FED002_072320_00.CSV,SHI,F,C149_F1,42,2,1,0.6666666666666666
