MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time,,,,,,,,,,
2/22/2020 4:33,0,4.09,0,1,Poke,Left,59,25,58,nan,,,,,,,,,,
2/22/2020 4:33,0,4.09,2,1,Pellet,Left,59,25,59,1,,,,,,,,,,
2/22/2020 4:33,0,4.09,0,1,Poke,Left,60,25,59,nan,,,,,,,,,,
2/22/2020 4:33,0,4.09,2,1,Pellet,Left,60,25,60,2,,,,,,,,,,
2/22/2020 4:33,0,4.09,0,1,Poke,Left,61,25,60,nan,,,,,,,,,,
2/22/2020 4:34,0,4.09,4,1,Pellet,Left,61,25,61,5,,,,,,,,,,
2/22/2020 4:34,0,4.09,0,1,Poke,Left,62,25,61,nan,,,,,,,,,,
2/22/2020 4:34,0,4.09,2,1,Pellet,Left,62,25,62,1,,,,,,,,,,
2/22/2020 8:02,0,4.07,0,1,Poke,Left,63,25,62,nan,,,,,,,,,,
2/22/2020 8:03,0,4.07,2,1,Pellet,Left,63,25,63,1,,,,,,,,,,
2/22/2020 8:03,0,4.07,0,1,Poke,Left,64,25,63,nan,,,,,,,,,,
2/22/2020 8:03,0,4.07,2,1,Pellet,Left,64,25,64,1,,,,,,,,,,
2/22/2020 8:04,0,4.07,0,1,Poke,Left,65,25,64,nan,,,,,,,,,,
2/22/2020 8:04,0,4.07,4,1,Pellet,Left,65,25,65,9,,,,,,,,,,
2/22/2020 11:03,0,4.05,0,1,Poke,Left,66,25,65,nan,,,,,,,,,,
2/22/2020 11:03,0,4.05,2,1,Pellet,Left,66,25,66,2,,,,,,,,,,
2/22/2020 11:04,0,4.06,0,1,Poke,Left,67,25,66,nan,,,,,,,,,,
2/22/2020 11:04,0,4.06,4,1,Pellet,Left,67,25,67,6,,,,,,,,,,
2/22/2020 11:04,0,4.05,0,1,Poke,Left,68,25,67,nan,,,,,,,,,,
2/22/2020 11:04,0,4.05,4,1,Pellet,Left,68,25,68,6,,,,,,,,,,
2/22/2020 11:18,0,4.06,0,1,Poke,Left,69,25,68,nan,,,,,,,,,,
2/22/2020 11:18,0,4.05,2,1,Poke,Left,69,25,69,nan,,,,,,,,,,
2/22/2020 11:18,0,4.05,0,1,Poke,Left,70,25,69,nan,,,,,,,,,,
2/22/2020 11:18,0,4.05,2,1,Pellet,Left,70,25,70,1,,,,,,,,,,
2/22/2020 12:47,0,4.05,0,1,Poke,Left,71,25,70,nan,,,,,,,,,,
2/22/2020 12:47,0,4.05,2,1,Pellet,Left,71,25,71,1,,,,,,,,,,
2/22/2020 12:48,0,4.05,0,1,Poke,Left,72,25,71,nan,,,,,,,,,,
2/22/2020 12:48,0,4.05,15,1,Pellet,Left,72,25,72,6,,,,,,,,,,
2/22/2020 12:50,0,4.05,0,1,Poke,Left,73,25,72,nan,,,,,,,,,,
2/22/2020 15:03,0,4.05,2,1,Pellet,Left,73,25,73,7994,,,,,,,,,,
2/22/2020 15:04,0,4.05,0,1,Poke,Left,74,25,73,nan,,,,,,,,,,
2/22/2020 15:05,0,4.04,4,1,Pellet,Left,74,25,74,6,,,,,,,,,,
2/22/2020 15:09,0,4.05,0,1,Poke,Left,75,25,74,nan,,,,,,,,,,
2/22/2020 15:10,0,4.05,3,1,Pellet,Left,75,25,75,10,,,,,,,,,,
